subject,course,unit_number,unit_title,project_path,status
Física,01-fundamentos-de-fisica-e-medicao,001,Grandezas físicas fundamentais e derivadas,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/001-grandezas-fisicas-fundamentais-e-derivadas.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,004,Algarismos significativos e notação científica,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/004-algarismos-significativos-e-notacao-cientifica.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,005,"Resolução, precisão, acurácia e incerteza de medição",fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/005-resolucao-precisao-acuracia-e-incerteza-de-medicao.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,006,Erros aleatórios e sistemáticos,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/006-erros-aleatorios-e-sistematicos.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,007,Propagação elementar de incertezas,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/007-propagacao-elementar-de-incertezas.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,008,Dimensões físicas e equações dimensionais,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/008-dimensoes-fisicas-e-equacoes-dimensionais.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,009,Análise dimensional como teste de consistência,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/009-analise-dimensional-como-teste-de-consistencia.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,010,Ordem de grandeza e estimativas de Fermi,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/010-ordem-de-grandeza-e-estimativas-de-fermi.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,011,"Proporcionalidade, linearização e leitura de gráficos",fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/011-proporcionalidade-linearizacao-e-leitura-de-graficos.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,012,Ajuste de modelo a dados e interpretação de resíduos,fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/012-ajuste-de-modelo-a-dados-e-interpretacao-de-residuos.html,PENDENTE_VIDEO_DIRETO
Física,01-fundamentos-de-fisica-e-medicao,013,"Planejamento experimental: variável independente, dependente e controle",fisica/cursos/01-fundamentos-de-fisica-e-medicao/curso_aluno/unidades/013-planejamento-experimental-variavel-independente-dependente-e-controle.html,PENDENTE_VIDEO_DIRETO
Física,02-mecanica-classica,014,Ponto material e corpo extenso,fisica/cursos/02-mecanica-classica/curso_aluno/unidades/014-ponto-material-e-corpo-extenso.html,PENDENTE_VIDEO_DIRETO
Física,02-mecanica-classica,039,Inversão de movimento no MUV,fisica/cursos/02-mecanica-classica/curso_aluno/unidades/039-inversao-de-movimento-no-muv.html,PENDENTE_VIDEO_DIRETO
